business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
2315,TAQUERIA CAN-CUN,2288 MISSION St,94110,37.760487,-122.419285,-408062878,2017-11-06,80,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2017-11-06,1970-01-01T12:00:00.000Z
5071,CAFE-ROSSO,1600 HOLLOWAY Ave,94132,37.720851,-122.477084,314029282,2017-02-10,90,Routine - Unscheduled,103139,Improper food storage,Low Risk,2017-02-10,1970-01-01T12:00:00.000Z
4685,NORMAN'S LIQUOR & DELI,733 Randolph St,94132,37.714204,-122.469193,368725939,2016-12-03,96,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2016-12-03,1970-01-01T12:00:00.000Z
4922,EL FARO,2399 FOLSOM St,94110,37.759054,-122.414656,-1701048532,2019-05-08,89,Routine - Unscheduled,103105,Improper cooling methods,High Risk,2019-05-08,1970-01-01T12:00:00.000Z
5958,ST. THOMAS THE APOSTLE,3801 BALBOA St,94121,37.775573,-122.499709,-1180264016,2019-01-28,89,Routine - Unscheduled,103102,Unclean hands or improper use of gloves,High Risk,2019-01-28,1970-01-01T12:00:00.000Z
37482,Bursa,60 West Portal Ave.,94127,37.740144,-122.466569,-1286259299,2019-01-09,85,Routine - Unscheduled,103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,2019-01-09,1970-01-01T12:00:00.000Z
59872,KAMEKYO,943 COLE St,94117,37.765164,-122.449874,35779883,2019-05-07,87,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2019-05-07,1970-01-01T12:00:00.000Z
63619,Subway Sandwiches,77 Van Ness Ave #100,94102,37.776133,-122.419484,1073605543,2017-09-19,92,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2017-09-19,1970-01-01T12:00:00.000Z
37651,Jack In The Box #545,400 Geary St,94102,37.787168,-122.410124,-1566147763,2017-08-29,98,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2017-08-29,1970-01-01T12:00:00.000Z
7216,El Chico Produce Market #2,4600 Mission St,94112,37.724489,-122.435026,65684688,2019-04-16,73,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2019-04-16,1970-01-01T12:00:00.000Z
37060,Halu,312 08th Ave,94118,37.782576,-122.46648,-536585941,2019-05-07,85,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2019-05-07,1970-01-01T12:00:00.000Z
